title,text,rating,reaction,who,date,website
Похвалить работников,"Обращаюсь к руководству Казахтелекома с просьбой объявить благодарности
 работникам Беимбетовой Диане и Каусовой Гульмире (г. Караганда) за что,
 выслушав мои просьбы, они внимательно и оперативно решили мои вопросы, 
что не скажешь о других...",null,Positive,Розалия,16.07.2020,spr.kz
Проснулись За сентябрь,"Постоянно в квитанции оплаты АЛСЕКО за услуги КАЗАКТЕЛЕКОМ графа 
""Долг""! А за что долг, если 2019 год закрыт без долгов, оплачиваю услуги
 месяц в месяц??? Сегодня 22.05.2020 звонила на 160 в очередной раз, 
опять ничего, и оператор, не зная что...",null,Positive,Елена,22.05.2020,spr.kz
Я такое еще не видел,"
 Я такое еще не видел, во время катки просто зависает инет, хотя он 
работает. Потом пинг под 200 доходит до 1000 ляяяя, такая дичь, это 
просто что-то. Не покупайте, серьезно вам говорю, это днище из днищ.  ",null,Positive,Тима,9.07.2019,spr.kz
Худший интернет на свете, Вообще тупит каждый день по 20 раз. Что-то можете предпринять?  ,null,Positive,Ерсултан,14.06.2019,spr.kz
Интернет плохой," Постоянно зависает, вырубается и это за очень большую сумму. Но у многих нет выбора, этим они и пользуются.  ",null,Positive,Вадим,12.05.2019,spr.kz
"Тупой монополист, с наитупейшими сотрудниками","Не согласна с начислением по лицевому счету 1272071 на 19 359 тенге. 12
 февраля 2018 отключала все виды услуг по данному лицевому счету с 
полной оплатой. Писала письменное заявление 1155144 от 20. 01. 2021 об 
этом инциденте. На что я получила...",null,Negative,Салтанат,14.02.2021,spr.kz
Обожаю этот интернет,"Начну пожалуй с плюсов1) 2)3)А теперь с минусов1) Вылетает постоянно и 
три часа подключается2) пинг от 2003) Даже Ютуб нормально грузить не 
может.Делаем вывод, что это самый лучший интернет. Пользуйтесь на 
здоровье, только не...",null,Negative,Казахтелеком худший интернет,12.02.2021,spr.kz
Примите меры,"Мы ежемесячно добросовестно оплачиваем ваши услуги! Зачем каждый день 
по 10 раз звоните своим противным голосом, напоминание об оплате???? 
Работайте давайте, ищите должников и звоните им! Надоедливые и не 
вовремя звонки ЗАДОЛБАЛИ! БЕЗДЕЛЬНИКИ! НЕ...",null,Negative,Людмила,31.01.2021,spr.kz
Конченное ужас,"
 Что за конченный интернет ужас вы о чем думаете нелюди у меня ребёнок 
сидит и учится через интернет а как ему учиться вы что издеваетесь 
достали уже где ваше понимание, одни маты охота написать слов нету.  ",null,Negative,Ибо,23.12.2020,spr.kz
Параша,"Я пишу это, пока мой интернет в отключке. Он вылетает каждые 20 минут, 
восстанавливается 3 минуты, а роутер нужно периодически перезагружать. 
Так уже неделю. Приходили несколько сотрудников раньше, что-то мутили, 
всё было отлично и даже...",null,Negative,Шрек,16.12.2020,spr.kz
