title,text,rating,reaction,who,date,website
4,"IDNET работает просто супер, при 
скорости 100 мб все летает. Дома два компа и телик смарт с WiFi?, смотрю
 фильмы на MEGOGO в качестве FullHD без тормозов. Очень доволен всем, 
кроме цены. При почти тотальной монополии цены могли быть и ниже.",4,Positive,Моторист,31.12.2014,valrating.com
1,"В середине октября дал заявку на 
подключение трех услуг, сказали что в течении трех раб. дней подключат. 
Спустя день перезвонили сказали, что нет приставок подключат только 
интернет, а приставки будут только в ноябре, позвонил в ноябре оператор 
сказала, что приставки пришли в течении пяти дней подключат. Аха фиг 
там, уже конец ноября звонил сказали приставки кончились. А знакомому 
установили за три дня. И интернет у них гавно, хотя и говорят 30 Мбит. 
До этого стоял биллайн 10 Мбит намного лучше был. Завтра пойду 
отказываться от Казахтелекома и снова подключу биллайн, тем более у них 
скоро тоже будет АйдиТв, пожалел, что перешел в казахтелеком зря только 
стену продырявили. МОЯ ОЦЕНКА 0, даже 1 не достойны...",1,Negative,Ерсын,24.11.2014,valrating.com
2,"Первый месяц после подключения было 
супер, дальше, хуже, очень тормозит, скорости ни какой, особенно по 
вечерам и выходным! За что мы платим, не понято! Двадцать первый век на 
дворе, а с интернетом так туго. Жутко бесит!",2,Negative,Мария,17.11.2014,valrating.com
1,"Уже месяц ждем подключения 
телевидения! Пришел мастер, установил блок (у нас 3 в одном-интернет, 
телефон, телевидение). Ничего не подключил! Обещал зайти! Хорошо сын сам
 наладил телефон и интернет! Телевидения нет! Сегодня обещали прийти! 
Опять обманули! Не Казахтелеком! А Лохтелеком! Отвратительно 
обслуживают! Жать что нет оценки ниже единице! Обслуживание НОЛЬ!!!!!",1,Negative,Галина,07.07.2014,valrating.com
5,"Ну на конец то провели стеклянный 
интернет. Очень долго ждал, хотя ADSL тоже хорошо работал, но IDnet 
вообще бомба. Сервис хорош, правда иногда попадаются любители по 
умничать.",5,Positive,Дядя,21.05.2014,valrating.com
3,"Перед новым годом стал тормозить 
интернет, хотя тесты нормальные, несколько дней помучился позвонил в 
поддержку, мерили и настраивали, но воз и ныне там. Зато вежливые!",3,Negative,MegaOFFline,12.01.2014,valrating.com
1,"незнаю читают они там наши отзывы или
 нет,но по-моему им там глубоко по барабану.у меня айди,как всегда у 
нас, сделано через одно место,постоянные разрывы,падение скорости,а то и
 вообще отключение.жаловался,писал,вообщем бесполезно.",1,Negative,ринат,30.11.2013,valrating.com
1,"пользовалась интернетом Казахтелекома
 в течении 3х лет,то отключали и не делали перерасчет,или же просто 
резали скорость так что любая страница грузилась около 30 мин.сколько 
раз звонила им (если дозванивалась) и постоянно во всех проблемах 
виновен мои комп,но только не они или же ""Вот вы понимаете..."" судя по 
всему нас никто не хотел там понимать,только деньги драли!управы никакой
 не найти!",1,Negative,Алена,01.08.2013,valrating.com
4,"Очень часто возникают проблемы с 
интернетом и ID TV, соответственно. Связь просто теряется безпричинно, а
 потом каким-то чудом само все восстанавливается. В общем, все нравится,
 качество телевидения и скорость интернета, но за такую цену можно и 
лучше поработать над надежностью.",4,Positive,Юлия,17.07.2013,valrating.com
1,"Перестал работать телефон ВЫЗВАЛ 
Монтера чтобы поменял проводку Врезультате телефон заработал но все что 
можно сломал (плинтуса, стены и тд) Просто ""садист"" какой то! А по 
телефону все такие вежливые!",1,Negative,Александр,11.05.2013,valrating.com
1,"Нестабильно работает услуга ID TV. 
Позвонил в 165. Несколько минут разговаривал с оператором. Потом 
переключили на техотдел. Там сказали будьте дома в течении дня приедут 
поставят другую приставку. Отпросился с работы, сижу жду. К 6 часам 
вечера понимаю, что никто не приедет. Звоню опять в 165, оператор около 
10 минут искал какую-то там карточку. Потом сказал ждите до 8 вечера 
приедут. Так никто не приехал и не позвонил.",1,Negative,freedom,08.02.2013,valrating.com
5,ID Net super! Жаль что не везде есть возможность подключения.,5,Positive,MAC,19.09.2012,valrating.com
1,"Когда прекратится урезание прав? 
Почему кто то может мне запретить свободно пользоваться интернет 
ресурсами? Даже сервис Google урезают! Капец и жаловаться некому! 
Подгосударственная контора!",1,Negative,Артём,05.05.2012,valrating.com
1,"хреновый интернет, связь в алматы на 
пресечении достык-клочкова постоянно пропадает, до тех.поддержки 
практически не дозвониться, вечером и ночью вообще никого нет!",1,Negative,Бек,24.03.2012,valrating.com
3,За такие деньги качество могло бы быть лучше.,3,Negative,Alex,30.01.2012,valrating.com
5,Ну на конец то! Снижены цены на доступ в интернет! свершилось!,5,Positive,Валерий,11.01.2012,valrating.com
5,"КТ это молодая компания, которая показывает как нужно относится к своей работе застарелых консерваторов. 
Они не боятся вкладывать большие деньги в новые технологии, и не боятся 
новинок. Поэтому просто приятно, что такая резвая компания есть в 
стране. 
Качество представляемых услуг растет постоянно, нареканий нет. .",5,Positive,3anuda,09.12.2011,valrating.com
5,"Услуги Мегалайна устраивают полностью. С самого подключения проблем не было. Так что, качество оцениваю как высокое.",5,Positive,Роланд,06.12.2011,valrating.com
3,"согласен, качество хорошее, но 
дороговато. Считаю основным минусом это контроль доступа к 
интернет-ресурсам, например http://www.livejournal.com или вообще 
непонятно почему нельзя просмотреть из Казахстана picasaweb.google.com -
 это просто галерея. Вежливость обслуживания это не компенсирует. 
Cвободы!",3,Negative,meister,05.12.2011,valrating.com
5,"Живу на КСК около 9 школы, интернет 
не вызывает нарекании. Играю в онлайн игры WoW пинг стабильно низкий. По
 цене вполне устраивает, за 4010 анлим по казнету.",5,Positive,Марат,05.12.2011,valrating.com
Говно  а не интернет,"Куанышбек Есекеев или кто там у вас 
главный, вообще ни стыда ни совести деньги сдирают с людей а обратной 
связи 0. Интернет ужасный скорость самая низкая. Никогда не подключайте 
их интернет.",1,Negative,Алт,10.02.2021,valrating.com
aidi tv ,"Очень плохой, худший даже сказала бы 
Интернет. Постоянно авария, постоянно у них неполадки. У них вины нет 
как не позвониш сразу на тебя хотят вешать свои косяки. Вообще не стоит 
заключать с ними договор. Ежемесячная оплата космическая сумма, за 
услугу  оцениваю «0». ТВ зависает не показывает. Мастера приходят 
устранять и в конце ничего не меняется та же самая картина.",1,Negative,vivien.mk@mail.ru,09.02.2021,valrating.com
Интернет,"Постоянно виснет интернет. Скорость 
отстой! Казахтелекому нет бы взять на заметку все плохие отзывы и 
исправить свои минусы, но нет, ничего хорошего! Какой был тормознутый 
интернет, таким и остался!",2,Negative,Б,05.02.2021,valrating.com
Самый худший провайдер,"Нормально в игры поиграть не могу,не 
говоря уже про видео.Заходишь на сайт смотреть свое любимое аниме и тут 
же стоит кружок с бесконечными вращениями бесит до тошноты.Не 
пользуйтесь.Подключите лучше Билайн и то по лучше будет",1,Negative,ННН,05.02.2021,valrating.com
Самый ужасный интернет,"Люди лучше не связывайтесь с этим 
Казахтелеком. 5 лет мучились и обманывали. У меня турбо 8 подключил но 
оказывается мне только половину скорость дали. Деньги на ветер. Я бы 
даже назвал их обслуживания хуже чем Африка или дал бы рейтинг самый 
последним. Лучше без интернета сидеть чем мучится с этим. Говорят билайн
 лучше работает но дорого.",1,Negative,Асылхан,29.01.2021,valrating.com
В край охренели,"Господи! просвяти головы заблудших 
людей, которые попытаются каким либо образом связаться с этой компанией.
   Телевидение гов.. Интернет говн... Берут деньги как за полноценный 
интернет а по факту получаешь вечно тормозящий, само-произвольно 
отключающий интернет... Врагу не посоветую связываться с ними",1,Negative,Потребитель,28.01.2021,valrating.com
"Казахтелеком, id net. Не берите этот интернет и т.д","Крч ребят, полное дерьмо интернет 20 
мбит в сек, это смешно. Ночью интернет отключают, берут и отключают. Вы 
берете с нас 10 тысяч тенге, за три телевизора и интернет, да не всрался
 мне ваш интернет, подаю иск на этих мошенников. Самый худший интернет в
 КЗ.",1,Negative,Димаш,25.01.2021,valrating.com
претензия,"Месяц назад рекламировали новый тариф
 , на что согласившись , подписала договор , и очень пожалела , целых 2 
недели остались без сотовой связи , т.к  на свои номера регистрировали ,
 3 раз ездили на Рихарде Зорге , и целый месяц не получили полный пакет 
услуг , но деньги не стесняясь сняли при этом .
Вчера отнесла ID Net, на что мне Сактлиганова эта старший менеджер не 
знала что и ответить , говорит ""скажите спасибо что живете в 
Казахстане"". Это вообще убило .
И что интересно , такие работают и получают за наш счет зарплату и занимают места , за что ?",1,Negative,Ильмира,15.01.2021,valrating.com
Грабят средь бела дня,"Не важно, какой договор подписываете, без уведомления повышают оплату. 
В 2018 году заключили договор и вроде всё было нормально - платили как 
положено первые месяцы по скидке, потом уже без скидки. И вот в начале 
прошлого года ежемесячно начала подниматься оплата. Поначалу это было в 
больших промежутках и не так заметно, но потом цена начала повышаться 
ежемесячно и вот мы уже платим на 1000 тг больше того, что указано в 
договоре. Пошли разбираться, сказали, что договор заключается не 
""фиксированный"" и повышение цены это нормально. Подключили другой тариф,
 где стоимость уже меньше и заключили новый договор. И вот пошел второй 
месяц оплаты - цена опять повысилась! Как так можно? Почему вы даже не 
уведомляете о повышении? Не сообщаете причин?",1,Negative,Алтын,03.01.2021,valrating.com
Параша для мазохистов,"Подключать этот интернет просто 
исключено. Вылетает каждые 10 минут, пинг в играх обычно под 60, 
подскакивает до 1000. Приходил сотрудник, мутил что-то, до вечера всё 
было отлично, потом по новой. Сейчас он крайне нестабилен, вылетает даже
 чаще чем 10 минут.",1,Negative,Шрек,17.12.2020,valrating.com
"Чтобы ***, камаз ****",8 тысяч за пинг 8000,1,Negative,Аnаl Master Van Boy,15.12.2020,valrating.com
Ужас ,"Ужасный провайдер! Такие деньги 
берут, а услуги обещанные не соответствует, 6 мгбт/с=3000 тг, логично 
лучше закинуть мобильный чем платить за маленькую скорость. Короче Г0вно
 инет у Казахтелекома",1,Negative,Алишер,30.11.2020,valrating.com
Казахтелеком.Усть-каменогорск,"Ужасная компания!!Обманывают не 
только обычный народ ,но и пенсионеров.Навязывают свои услуги по одной 
цене,а платить в итоге приходится почти в два раза дороже.Конкретно 
менеджер Мухаметкалиев Кайрат .Договор прочитать толком не дал даже.В 
общем по Устькаменогорскому ,делаю выводы по всему""казахтелекому"" !",1,Negative,Алена,20.11.2020,valrating.com
